candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
hillary,0,1,11,0,0,0,0,0,11,0.3598087423,1,0,0,0,0,0,0.9882726877,g,1
rice,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9882726877,g,1
canadian,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9882726877,g,1
zayn,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9882726877,g,1
english,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9882726877,g,1
village,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9882726877,g,1
europeans,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9882726877,g,1
christian,0,1,7,0,0,0,0,0,7,0.0973439581,1,0,0,0,0,0,0.9882726877,g,1
muslims,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9882726877,g,1
africans,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9882726877,g,1
david,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9882726877,g,1
aldo,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9882726877,g,1
malibu,0,1,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9882726877,g,1
russians,0,1,5,0,0,0,0,0,5,-0.033888434,1,0,0,0,0,0,0.9882726877,g,1
manafort,0,1,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9882726877,g,1
flynn,0,1,9,0,0,1,0,0,10,0.2941925463,0.9,0,0,0.1,0,0,0.9865924331,g,1
rodriguez get,0,2,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9842314021,g,1
damian maia,0,2,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9842314021,g,1
bad things,0,2,6,0,0,0,0,0,6,0.031727762,1,0,0,0,0,0,0.9842314021,g,1
jeff sessions,0,2,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9842314021,g,1
hailee steinfeld,0,2,7,0,0,0,0,0,7,0.0973439581,1,0,0,0,0,0,0.9842314021,g,1
donald trump,0,2,4,0,0,0,0,0,4,-0.0995046301,1,0,0,0,0,0,0.9842314021,g,1
eddie alvarez,0,2,3,0,0,0,0,0,3,-0.1651208261,1,0,0,0,0,0,0.9842314021,g,1
susan rice,0,2,5,0,0,0,0,0,5,-0.033888434,1,0,0,0,0,0,0.9842314021,g,1
washington post,0,2,23,0,0,0,0,0,23,1.147203095,1,0,0,0,0,0,0.9842314021,g,1
australian,0,1,8,0,0,0,0,1,9,0.2285763502,0.8888888889,0,0,0,0,0.1111111111,0.9819111459,g,1
house republicans,0,2,34,0,0,0,0,2,36,2.0002136437,0.9444444444,0,0,0,0,0.0555555556,0.9804550407,g,1
trumpcare,0,1,6,0,0,0,0,1,7,0.0973439581,0.8571428571,0,0,0,0,0.1428571429,0.979382628,g,1
hitler,0,1,6,0,0,0,0,1,7,0.0973439581,0.8571428571,0,0,0,0,0.1428571429,0.979382628,g,1
russia,0,1,42,0,2,0,2,1,47,2.7219918004,0.8936170213,0,0.0425531915,0,0.0425531915,0.0212765957,0.9787320975,g,1
this town,0,2,5,0,0,1,0,0,6,0.031727762,0.8333333333,0,0,0.1666666667,0,0,0.9786492751,g,1
wapo,0,1,3,0,0,2,0,0,5,-0.033888434,0.6,0,0,0.4,0,0,0.9784696834,g,1
frankie edgar,0,2,22,1,0,0,0,1,24,1.2128192911,0.9166666667,0.0416666667,0,0,0,0.0416666667,0.9779111,g,1
jolene,0,1,5,0,0,0,0,1,6,0.031727762,0.8333333333,0,0,0,0,0.1666666667,0.9772175019,g,1
jorge,0,1,7,0,2,0,0,0,9,0.2285763502,0.7777777778,0,0.2222222222,0,0,0,0.9759786684,g,1
sweden,0,1,4,0,0,0,0,1,5,-0.033888434,0.8,0,0,0,0,0.2,0.9737407348,g,1
american,0,1,12,0,0,0,0,3,15,0.6222735266,0.8,0,0,0,0,0.2,0.9737407348,g,1
lynch,0,1,4,0,0,0,0,1,5,-0.033888434,0.8,0,0,0,0,0.2,0.9737407348,g,1
americans,0,1,13,0,1,0,1,0,15,0.6222735266,0.8666666667,0,0.0666666667,0,0.0666666667,0,0.97359859,g,1
ukraine,0,1,6,0,2,0,0,0,8,0.1629601542,0.75,0,0.25,0,0,0,0.9734814708,g,1
dems,0,1,9,0,3,0,0,0,12,0.4254249384,0.75,0,0.25,0,0,0,0.9734814708,g,1
numb,0,1,12,0,0,0,1,1,14,0.5566573305,0.8571428571,0,0,0,0.0714285714,0.0714285714,0.9702583243,g,1
joe silva,0,2,2,0,0,1,0,0,3,-0.1651208261,0.6666666667,0,0,0.3333333333,0,0,0.9701703157,g,1
jorge masvidal,0,2,5,0,0,0,0,1,6,0.031727762,0.8333333333,0,0,0,0,0.1666666667,0.9691645951,g,1
trump,0,1,160,1,11,3,9,18,202,12.8925021891,0.7920792079,0.004950495,0.0544554455,0.0148514851,0.0445544554,0.0891089109,0.9687986017,g,1
joe,0,1,3,0,0,0,0,1,4,-0.0995046301,0.75,0,0,0,0,0.25,0.9673718838,g,1
syria,0,1,6,0,0,0,0,2,8,0.1629601542,0.75,0,0,0,0,0.25,0.9673718838,g,1
carson,0,1,3,0,0,0,0,1,4,-0.0995046301,0.75,0,0,0,0,0.25,0.9673718838,g,1
moscow,0,1,3,0,0,0,0,1,4,-0.0995046301,0.75,0,0,0,0,0.25,0.9673718838,g,1
yair rodriguez,0,2,9,0,0,0,0,2,11,0.3598087423,0.8181818182,0,0,0,0,0.1818181818,0.9671140919,g,1
nunes,0,1,5,0,1,0,0,1,7,0.0973439581,0.7142857143,0,0.1428571429,0,0,0.1428571429,0.9665481485,g,1
maia,0,1,77,0,31,0,0,4,112,6.987044544,0.6875,0,0.2767857143,0,0,0.0357142857,0.9659489367,g,1
demian maia,0,2,13,1,0,0,0,2,16,0.6878897226,0.8125,0.0625,0,0,0,0.125,0.9658413611,g,1
instagram,0,1,10,0,0,0,1,1,12,0.4254249384,0.8333333333,0,0,0,0.0833333333,0.0833333333,0.9650557083,g,1
devin nunes,0,2,4,0,0,0,0,1,5,-0.033888434,0.8,0,0,0,0,0.2,0.9644531518,g,1
united kingdom,0,2,4,0,0,0,0,1,5,-0.033888434,0.8,0,0,0,0,0.2,0.9644531518,g,1
carter page,0,2,221,1,0,0,6,40,268,17.2231711289,0.8246268657,0.0037313433,0,0,0.0223880597,0.1492537313,0.9642909005,g,1
russian,0,1,15,0,0,0,1,3,19,0.8847383108,0.7894736842,0,0,0,0.0526315789,0.1578947368,0.964086549,g,1
california,0,1,2,0,1,0,0,0,3,-0.1651208261,0.6666666667,0,0.3333333333,0,0,0,0.9640150234,g,1
